Country,City,Latitude,Longitude,Temperature,Humidity %,Cloudiness %,Wind Speed (mph)
AU,busselton,-33.64,115.35,53.58,100,0,6.08
NZ,tuatapere,-46.13,167.69,34.68,100,56,4.97
BW,tshane,-24.02,21.87,56.46,14,0,8.55
RU,mago,53.27,140.15,43.59,91,0,2.06
PF,rikitea,-23.12,-134.97,75.99,100,56,10.22
US,albany,42.65,-73.75,80.51,65,75,4.7
AR,mar del plata,-46.43,-67.52,41.97,79,0,4.63
RU,beya,53.05,90.92,41.43,84,36,1.72
QA,doha,25.29,51.53,93.2,67,0,5.82
BR,touros,-5.2,-35.46,83.91,72,0,12.68
KZ,sarkand,45.41,79.91,54.39,41,0,3.29
AR,barrow,-38.31,-60.23,48.36,81,92,11.68
RU,yar-sale,66.83,70.83,33.15,96,92,28.68
CN,shenjiamen,29.96,122.3,66.09,94,24,9.22
AR,ushuaia,-54.81,-68.31,47.41,61,75,24.16
NZ,tuatapere,-46.13,167.69,34.68,100,56,4.97
ZA,carnarvon,-30.97,22.13,39.45,89,0,7.54
PF,atuona,-9.8,-139.03,79.5,100,0,14.47
RO,calafat,43.99,22.93,74.91,56,0,6.2
PF,rikitea,-23.12,-134.97,75.99,100,56,10.22
US,albany,42.65,-73.75,80.51,65,75,4.7
PF,rikitea,-23.12,-134.97,75.99,100,56,10.22
AU,busselton,-33.64,115.35,53.58,100,0,6.08
US,glendive,47.11,-104.71,68.59,78,90,4.7
ZA,cape town,-33.93,18.42,53.6,76,20,10.29
PF,faanui,-16.48,-151.75,79.59,100,56,10.67
US,cheney,47.49,-117.58,53.71,44,75,16.11
MM,chauk,20.89,94.82,77.07,95,64,11.12
PF,rikitea,-23.12,-134.97,75.99,100,56,10.22
PF,rikitea,-23.12,-134.97,75.99,100,56,10.22
CU,bahia honda,22.9,-83.16,84.18,77,68,5.19
ZA,plettenberg bay,-34.05,23.37,59.43,96,0,18.72
BR,arraial do cabo,-22.97,-42.02,82.4,54,0,9.17
CL,punta arenas,-53.16,-70.91,45.57,70,20,20.8
US,albany,42.65,-73.75,80.51,65,75,4.7
IN,gaya,24.8,85.01,82.4,78,0,11.41
CA,yellowknife,62.45,-114.38,59.0,28,40,19.46
RU,provideniya,64.42,-173.23,32.25,93,92,11.23
BR,aripuana,-9.17,-60.63,86.43,66,24,1.5
NO,sorland,67.67,12.69,44.6,87,75,8.05
PG,lae,-6.72,146.98,66.45,100,56,1.39
MV,hithadhoo,-0.6,73.08,84.9,100,88,15.26
NE,goure,13.98,10.27,93.18,18,8,5.64
AU,bluff,-23.58,149.07,41.61,79,0,7.2
EE,vao,59.1,26.19,65.82,42,0,6.53
BR,arraial do cabo,-22.97,-42.02,82.4,54,0,9.17
AU,busselton,-33.64,115.35,53.58,100,0,6.08
CL,castro,-42.48,-73.76,47.28,76,0,7.43
AU,busselton,-33.64,115.35,53.58,100,0,6.08
RU,talnakh,69.49,88.39,28.83,87,32,2.62
NO,havoysund,71.0,24.66,41.0,93,75,20.8
US,albany,42.65,-73.75,80.51,65,75,4.7
BR,sao joao da barra,-21.64,-41.05,82.4,58,20,16.11
NG,miri,10.31,9.75,80.4,72,0,2.17
RU,zvenigovo,55.97,48.02,41.0,52,75,6.71
RU,pevek,69.7,170.27,34.86,89,68,19.73
AU,busselton,-33.64,115.35,53.58,100,0,6.08
ZA,port alfred,-33.59,26.89,62.58,88,0,19.62
EC,puerto ayora,-0.74,-90.35,80.6,61,0,11.01
BR,sao miguel do araguaia,-13.28,-50.16,84.0,75,0,6.76
NO,longyearbyen,78.22,15.63,37.4,93,90,8.05
RU,polyarnyy,69.2,33.45,46.4,52,20,6.71
RU,batagay,67.65,134.64,42.96,99,92,13.02
SB,buala,-8.15,159.59,80.04,99,12,4.97
CL,punta arenas,-53.16,-70.91,45.57,70,20,20.8
BB,bathsheba,13.22,-59.52,84.2,70,40,21.92
CA,goderich,43.74,-81.71,69.69,79,0,12.24
UY,chuy,-33.69,-53.46,58.71,100,92,22.08
CA,clyde river,70.47,-68.59,32.0,99,90,10.29
RU,khandyga,62.65,135.58,50.61,48,92,6.08
RU,nikolskoye,59.7,30.79,62.6,48,0,2.24
AR,ushuaia,-54.81,-68.31,47.41,61,75,24.16
AU,busselton,-33.64,115.35,53.58,100,0,6.08
PF,atuona,-9.8,-139.03,79.5,100,0,14.47
RU,srednekolymsk,67.46,153.71,32.52,82,92,4.85
PF,rikitea,-23.12,-134.97,75.99,100,56,10.22
PF,atuona,-9.8,-139.03,79.5,100,0,14.47
RU,bilibino,68.06,166.44,36.75,79,76,4.41
FR,hendaye,43.37,-1.77,67.15,88,75,4.7
CL,coihaique,-45.58,-72.07,37.02,74,20,5.82
AU,kiama,-34.67,150.86,53.6,62,90,17.22
PT,saldanha,41.42,-6.55,65.1,53,0,4.07
CA,aklavik,68.22,-135.01,50.02,65,75,8.05
CA,fort nelson,58.81,-122.69,59.0,54,75,5.82
GF,cayenne,4.94,-52.33,86.0,66,0,16.11
ZA,bredasdorp,-34.53,20.04,50.0,71,88,3.36
ZA,cape town,-33.93,18.42,53.6,76,20,10.29
CA,saint-philippe,45.36,-73.48,81.91,65,20,3.36
CK,avarua,-21.21,-159.78,73.4,73,75,19.46
CA,saint-philippe,45.36,-73.48,81.91,65,20,3.36
ZA,cape town,-33.93,18.42,53.6,76,20,10.29
PF,rikitea,-23.12,-134.97,75.99,100,56,10.22
ID,tual,-5.67,132.75,82.2,99,12,18.16
SD,kutum,14.2,24.66,86.43,24,64,8.66
GL,ilulissat,69.22,-51.1,33.8,74,75,8.05
AU,busselton,-33.64,115.35,53.58,100,0,6.08
UY,chuy,-33.69,-53.46,58.71,100,92,22.08
ES,fortuna,38.18,-1.13,72.48,73,0,4.7
TR,eregli,37.51,34.05,57.09,89,48,1.95
PF,atuona,-9.8,-139.03,79.5,100,0,14.47
RU,kaduy,59.2,37.15,59.61,45,36,11.79
BR,arraial do cabo,-22.97,-42.02,82.4,54,0,9.17
CL,monte patria,-30.69,-70.96,49.71,79,8,2.39
US,albany,42.65,-73.75,80.51,65,75,4.7
RU,talnakh,69.49,88.39,28.83,87,32,2.62
RU,chokurdakh,70.62,147.9,21.36,95,44,8.1
CL,punta arenas,-53.16,-70.91,45.57,70,20,20.8
PF,faanui,-16.48,-151.75,79.59,100,56,10.67
MD,drochia,48.03,27.81,70.68,34,0,7.76
ZA,bredasdorp,-34.53,20.04,50.0,71,88,3.36
CF,bossangoa,6.5,17.45,73.11,95,20,2.95
RU,novoagansk,61.94,76.66,43.86,93,20,5.08
CK,avarua,-21.21,-159.78,73.4,73,75,19.46
NZ,ngunguru,-35.62,174.5,60.87,100,92,27.78
ID,merauke,-8.49,140.4,76.35,90,8,13.13
CD,kasongo-lunda,-6.48,16.82,77.61,72,12,2.17
RU,svetlaya,46.54,138.33,56.37,68,44,8.66
CA,saint-philippe,45.36,-73.48,81.91,65,20,3.36
US,south valley,35.01,-106.68,85.14,6,1,13.87
ZA,east london,-33.02,27.91,53.6,66,0,10.29
GY,georgetown,6.8,-58.16,82.4,78,40,13.87
PH,aliaga,15.5,120.85,82.4,78,75,2.24
ZA,hermanus,-34.42,19.24,48.45,89,24,6.98
BR,jaciara,-15.95,-54.98,90.66,38,32,7.2
PF,faanui,-16.48,-151.75,79.59,100,56,10.67
US,albany,42.65,-73.75,80.51,65,75,4.7
NG,naze,5.43,7.07,78.8,83,75,2.24
AR,ushuaia,-54.81,-68.31,47.41,61,75,24.16
IN,vaini,15.34,74.49,74.28,98,80,1.16
CL,punta arenas,-53.16,-70.91,45.57,70,20,20.8
CA,mackay,53.65,-115.58,50.76,81,40,6.93
ZA,port alfred,-33.59,26.89,62.58,88,0,19.62
RU,usinsk,66.0,57.56,35.94,74,76,12.8
SB,buala,-8.15,159.59,80.04,99,12,4.97
IN,ingraj bazar,25.0,88.15,79.5,91,44,3.74
BN,victoria,5.28,115.24,77.0,94,75,12.8
CN,qujing,25.49,103.8,58.53,99,80,1.95
PF,rikitea,-23.12,-134.97,75.99,100,56,10.22
FR,ornes,49.25,5.47,64.31,77,48,8.05
AU,hobart,-42.88,147.33,44.6,87,40,8.05
NZ,kaitangata,-46.28,169.85,29.73,62,32,8.32
IN,jodhpur,26.3,73.04,91.83,23,8,5.75
ZA,east london,-33.02,27.91,53.6,66,0,10.29
PF,rikitea,-23.12,-134.97,75.99,100,56,10.22
AR,mar del plata,-46.43,-67.52,41.97,79,0,4.63
NZ,whitianga,-36.83,175.7,60.51,100,88,22.3
EC,puerto ayora,-0.74,-90.35,80.6,61,0,11.01
US,kodiak,39.95,-94.76,91.4,43,1,12.75
AU,busselton,-33.64,115.35,53.58,100,0,6.08
NA,luderitz,-26.65,15.16,57.81,89,0,9.44
IN,vaini,15.34,74.49,74.28,98,80,1.16
PF,rikitea,-23.12,-134.97,75.99,100,56,10.22
BR,manhuacu,-20.26,-42.03,68.97,66,76,4.97
BR,arraial do cabo,-22.97,-42.02,82.4,54,0,9.17
PF,haapiti,-17.57,-149.87,82.4,65,20,8.05
TH,ko samui,9.54,99.94,85.44,100,64,5.97
BN,victoria,5.28,115.24,77.0,94,75,12.8
CL,coihaique,-45.58,-72.07,37.02,74,20,5.82
AU,mount gambier,-37.83,140.78,37.92,79,32,2.73
KI,butaritari,3.07,172.79,84.45,100,20,9.78
BR,elesbao veloso,-6.2,-42.14,88.41,56,0,6.87
CA,norman wells,65.28,-126.83,64.4,42,75,10.29
BD,teknaf,20.86,92.31,79.41,92,80,3.4
AR,ushuaia,-54.81,-68.31,47.41,61,75,24.16
VU,isangel,-19.55,169.27,75.36,100,8,7.43
CL,punta arenas,-53.16,-70.91,45.57,70,20,20.8
AU,hobart,-42.88,147.33,44.6,87,40,8.05
AU,busselton,-33.64,115.35,53.58,100,0,6.08
CA,thompson,55.74,-97.86,53.6,27,75,14.99
US,sitka,37.17,-99.65,95.61,45,24,15.14
PF,rikitea,-23.12,-134.97,75.99,100,56,10.22
NG,auki,12.18,6.51,85.98,54,32,3.4
US,winnemucca,40.97,-117.74,64.4,31,1,3.62
NZ,mataura,-46.19,168.86,16.77,66,12,2.73
CA,thompson,55.74,-97.86,53.6,27,75,14.99
BO,uyuni,-20.46,-66.82,52.23,20,0,15.03
FR,autun,46.95,4.3,68.0,64,0,4.7
CN,shache,38.42,77.24,61.68,47,0,8.66
NZ,tuatapere,-46.13,167.69,34.68,100,56,4.97
MY,sri aman,1.24,111.46,75.2,100,88,2.28
ZA,east london,-33.02,27.91,53.6,66,0,10.29
NZ,mataura,-46.19,168.86,16.77,66,12,2.73
CA,husavik,50.56,-96.99,56.1,77,68,19.73
US,albany,42.65,-73.75,80.51,65,75,4.7
PF,rikitea,-23.12,-134.97,75.99,100,56,10.22
US,albany,42.65,-73.75,80.51,65,75,4.7
NZ,mataura,-46.19,168.86,16.77,66,12,2.73
US,kapaa,22.08,-159.32,74.21,88,90,13.87
AU,jamestown,-33.21,138.6,32.79,79,44,3.74
BR,barreirinhas,-2.75,-42.83,85.26,77,20,4.74
PH,santander,9.42,123.33,80.6,88,90,6.93
JP,itoman,26.12,127.67,73.47,83,20,9.17
AU,jamestown,-33.21,138.6,32.79,79,44,3.74
BR,cidreira,-30.17,-50.22,70.95,88,92,9.44
CL,castro,-42.48,-73.76,47.28,76,0,7.43
IE,mahon,51.89,-8.4,62.6,88,75,11.41
US,albany,42.65,-73.75,80.51,65,75,4.7
AU,hobart,-42.88,147.33,44.6,87,40,8.05
CL,mundo nuevo,-32.72,-71.41,56.25,54,0,8.05
TT,tacarigua,10.64,-61.36,86.0,66,40,13.87
CA,hay river,60.82,-115.79,66.2,42,75,5.82
AR,ushuaia,-54.81,-68.31,47.41,61,75,24.16
PF,rikitea,-23.12,-134.97,75.99,100,56,10.22
NZ,mataura,-46.19,168.86,16.77,66,12,2.73
US,fairbanks,64.84,-147.72,51.24,87,75,3.4
CL,punta arenas,-53.16,-70.91,45.57,70,20,20.8
US,bethel,60.79,-161.76,51.8,71,75,9.17
BR,ponta do sol,-20.63,-46.0,75.63,51,32,5.64
GL,qaanaaq,77.48,-69.36,32.34,99,0,5.64
AR,rawson,-43.3,-65.11,50.88,56,0,7.2
US,kodiak,39.95,-94.76,91.4,43,1,12.75
CA,pangnirtung,66.15,-65.72,30.2,80,75,13.87
GL,tasiilaq,65.61,-37.64,35.6,80,75,10.29
MX,lazaro cardenas,28.39,-105.62,95.0,11,40,6.93
MX,guerrero negro,27.97,-114.04,72.03,65,8,11.23
CL,punta arenas,-53.16,-70.91,45.57,70,20,20.8
PH,isabela,10.2,122.99,75.63,98,36,2.84
PH,olutanga,7.31,122.85,80.85,100,92,9.33
AO,luanda,-8.83,13.24,78.15,81,0,9.55
UY,chuy,-33.69,-53.46,58.71,100,92,22.08
PE,pisco,-13.71,-76.2,64.4,82,90,6.93
CA,geraldton,49.72,-86.95,48.2,44,40,13.87
FO,klaksvik,62.23,-6.59,53.6,81,68,8.05
CA,iqaluit,63.75,-68.52,33.8,69,90,9.17
GT,chinique,15.08,-91.0,63.57,93,92,2.84
RU,belaya gora,68.54,146.19,31.71,83,0,7.31
AU,busselton,-33.64,115.35,53.58,100,0,6.08
US,albany,42.65,-73.75,80.51,65,75,4.7
AR,ushuaia,-54.81,-68.31,47.41,61,75,24.16
PF,rikitea,-23.12,-134.97,75.99,100,56,10.22
CA,thompson,55.74,-97.86,53.6,27,75,14.99
GL,upernavik,72.79,-56.15,30.63,98,92,5.19
ZA,port alfred,-33.59,26.89,62.58,88,0,19.62
KI,butaritari,3.07,172.79,84.45,100,20,9.78
US,albany,42.65,-73.75,80.51,65,75,4.7
US,kenai,60.55,-151.26,50.04,81,1,5.82
US,vardo,39.62,-77.74,84.47,58,40,3.51
CL,punta arenas,-53.16,-70.91,45.57,70,20,20.8
MU,quatre cocos,-20.21,57.76,71.6,94,75,4.7
PE,matara,-13.74,-72.9,59.0,41,0,2.51
IN,vaini,15.34,74.49,74.28,98,80,1.16
CY,lasa,34.92,32.53,72.77,83,20,2.24
TT,esperance,10.24,-61.45,86.0,66,40,13.87
MX,pochutla,15.74,-96.47,82.83,83,75,15.7
RU,leningradskiy,69.38,178.42,33.6,80,44,7.31
AU,busselton,-33.64,115.35,53.58,100,0,6.08
GA,mayumba,-3.44,10.65,76.8,96,68,8.43
BR,ponta do sol,-20.63,-46.0,75.63,51,32,5.64
BR,maraa,-1.83,-65.37,81.21,86,88,4.41
EC,puerto ayora,-0.74,-90.35,80.6,61,0,11.01
PF,rikitea,-23.12,-134.97,75.99,100,56,10.22
RU,saskylakh,71.97,114.09,30.81,86,68,12.91
MX,coahuayana,18.62,-100.35,89.58,36,0,3.06
GB,skegness,53.14,0.34,69.93,77,0,2.24
BR,arraial do cabo,-22.97,-42.02,82.4,54,0,9.17
AU,bluff,-23.58,149.07,41.61,79,0,7.2
EE,torva,58.0,25.93,60.8,44,0,5.82
PF,rikitea,-23.12,-134.97,75.99,100,56,10.22
JP,katsuura,33.93,134.5,56.1,89,0,2.39
PT,saldanha,41.42,-6.55,65.1,53,0,4.07
IN,vaini,15.34,74.49,74.28,98,80,1.16
RU,cherskiy,68.75,161.3,39.0,91,44,4.07
ZA,port alfred,-33.59,26.89,62.58,88,0,19.62
ID,bambanglipuro,-7.95,110.28,64.38,96,0,2.28
SN,oussouye,12.49,-16.54,86.11,74,40,9.17
ZA,carnarvon,-30.97,22.13,39.45,89,0,7.54
PT,saldanha,41.42,-6.55,65.1,53,0,4.07
GL,ilulissat,69.22,-51.1,33.8,74,75,8.05
AU,port lincoln,-34.72,135.86,55.11,98,80,11.68
RU,dudinka,69.41,86.18,31.53,95,56,8.1
RU,baykalsk,51.52,104.15,42.69,88,92,5.97
US,kapaa,22.08,-159.32,74.21,88,90,13.87
JP,iwanai,42.97,140.51,49.53,100,0,10.67
NO,mehamn,71.03,27.85,41.0,86,75,13.87
MU,cap malheureux,-19.98,57.61,71.6,94,75,4.7
RU,batagay-alyta,67.8,130.41,34.95,96,92,11.23
CL,punta arenas,-53.16,-70.91,45.57,70,20,20.8
US,albany,42.65,-73.75,80.51,65,75,4.7
RU,koshurnikovo,54.3,93.39,41.25,81,0,3.74
AU,bluff,-23.58,149.07,41.61,79,0,7.2
KI,butaritari,3.07,172.79,84.45,100,20,9.78
US,makakilo city,21.35,-158.09,79.21,58,1,9.17
RU,pevek,69.7,170.27,34.86,89,68,19.73
PF,atuona,-9.8,-139.03,79.5,100,0,14.47
US,kodiak,39.95,-94.76,91.4,43,1,12.75
ZA,cape town,-33.93,18.42,53.6,76,20,10.29
US,port elizabeth,39.31,-74.98,80.96,74,75,3.36
NZ,mataura,-46.19,168.86,16.77,66,12,2.73
RU,usinsk,66.0,57.56,35.94,74,76,12.8
BO,uyuni,-20.46,-66.82,52.23,20,0,15.03
TH,nakhon ratchasima,14.97,102.09,77.0,100,0,4.63
EC,puerto ayora,-0.74,-90.35,80.6,61,0,11.01
RU,lensk,60.71,114.91,56.01,45,48,5.75
US,kodiak,39.95,-94.76,91.4,43,1,12.75
AR,mar del plata,-46.43,-67.52,41.97,79,0,4.63
RU,staryy nadym,65.61,72.68,36.03,89,64,10.67
GL,ilulissat,69.22,-51.1,33.8,74,75,8.05
GY,georgetown,6.8,-58.16,82.4,78,40,13.87
PF,rikitea,-23.12,-134.97,75.99,100,56,10.22
NO,longyearbyen,78.22,15.63,37.4,93,90,8.05
BB,bathsheba,13.22,-59.52,84.2,70,40,21.92
US,lompoc,34.64,-120.46,68.04,35,1,6.93
NZ,mataura,-46.19,168.86,16.77,66,12,2.73
RU,pevek,69.7,170.27,34.86,89,68,19.73
LK,weligama,5.97,80.42,78.06,100,76,9.66
ZA,cape town,-33.93,18.42,53.6,76,20,10.29
MV,kudahuvadhoo,2.67,72.89,84.0,99,80,16.93
GL,tasiilaq,65.61,-37.64,35.6,80,75,10.29
CA,tuktoyaktuk,69.44,-133.03,44.73,91,75,9.17
CA,clyde river,70.47,-68.59,32.0,99,90,10.29
RU,dikson,73.51,80.55,23.16,77,20,4.74
EC,puerto ayora,-0.74,-90.35,80.6,61,0,11.01
CN,yumen,40.29,97.04,54.66,19,88,9.78
NE,zinder,13.81,8.99,96.8,25,0,9.17
IN,kavaratti,10.57,72.64,81.21,100,92,15.82
ID,sampit,-2.54,112.95,76.08,89,48,5.19
IN,port blair,11.67,92.75,82.47,100,80,12.8
SD,abu zabad,12.35,29.25,81.48,64,36,4.07
IN,tura,25.52,90.21,78.51,92,100,2.28
AU,victor harbor,-35.55,138.62,44.6,70,0,6.93
ZA,hermanus,-34.42,19.24,48.45,89,24,6.98
AU,bluff,-23.58,149.07,41.61,79,0,7.2
AR,ushuaia,-54.81,-68.31,47.41,61,75,24.16
US,albany,42.65,-73.75,80.51,65,75,4.7
CF,birao,10.3,22.78,75.45,84,44,3.62
IN,vaini,15.34,74.49,74.28,98,80,1.16
AR,ushuaia,-54.81,-68.31,47.41,61,75,24.16
BR,sao paulo de olivenca,-3.38,-68.87,83.73,78,20,2.73
CL,punta arenas,-53.16,-70.91,45.57,70,20,20.8
UA,petrivka,48.39,37.78,56.37,33,0,7.2
NE,goure,13.98,10.27,93.18,18,8,5.64
TM,gazojak,41.19,61.4,74.55,56,0,11.12
US,kapaa,22.08,-159.32,74.21,88,90,13.87
KI,butaritari,3.07,172.79,84.45,100,20,9.78
ZA,east london,-33.02,27.91,53.6,66,0,10.29
UA,olyka,50.73,25.81,69.96,39,0,4.85
PF,atuona,-9.8,-139.03,79.5,100,0,14.47
BR,vila velha,-3.71,-38.6,82.4,69,75,16.11
CA,yellowknife,62.45,-114.38,59.0,28,40,19.46
OM,salalah,17.01,54.1,84.2,89,40,5.82
AU,busselton,-33.64,115.35,53.58,100,0,6.08
BR,trairi,-3.28,-39.27,80.58,100,92,19.73
RU,anadyr,64.73,177.51,33.8,95,90,31.32
PY,san patricio,-26.98,-56.83,56.46,98,92,6.76
RU,okhotsk,59.36,143.24,40.35,87,0,2.17
RU,orlik,52.51,99.83,27.3,83,92,2.28
RU,ossora,59.24,163.07,33.06,98,12,4.63
RU,tiksi,71.64,128.87,30.18,96,92,13.69
CL,santiago,-33.44,-70.65,56.1,41,0,3.36
GY,georgetown,6.8,-58.16,82.4,78,40,13.87
IN,port blair,11.67,92.75,82.47,100,80,12.8
AU,bluff,-23.58,149.07,41.61,79,0,7.2
NZ,mataura,-46.19,168.86,16.77,66,12,2.73
DZ,tazmalt,36.39,4.4,69.8,83,75,4.7
RU,pevek,69.7,170.27,34.86,89,68,19.73
MU,bambous virieux,-20.34,57.76,71.6,94,75,4.7
PT,saldanha,41.42,-6.55,65.1,53,0,4.07
AU,busselton,-33.64,115.35,53.58,100,0,6.08
AU,busselton,-33.64,115.35,53.58,100,0,6.08
US,winnemucca,40.97,-117.74,64.4,31,1,3.62
NZ,mataura,-46.19,168.86,16.77,66,12,2.73
MX,tulum,20.21,-87.46,86.0,70,90,8.05
MR,nouadhibou,20.93,-17.03,71.6,64,64,20.8
CN,puqi,29.72,113.88,71.76,73,92,7.65
NO,longyearbyen,78.22,15.63,37.4,93,90,8.05
AU,jamestown,-33.21,138.6,32.79,79,44,3.74
MX,guerrero negro,27.97,-114.04,72.03,65,8,11.23
US,albany,42.65,-73.75,80.51,65,75,4.7
SA,umm lajj,25.02,37.27,85.35,60,0,9.66
RU,pitkyaranta,61.57,31.48,66.18,44,12,14.03
IN,susner,23.94,76.1,87.6,43,0,10.67
AU,busselton,-33.64,115.35,53.58,100,0,6.08
SA,abha,18.22,42.5,72.55,64,0,4.7
CV,sao filipe,14.9,-24.5,74.55,90,0,14.25
AR,ushuaia,-54.81,-68.31,47.41,61,75,24.16
RU,ostrovnoy,68.05,39.51,38.91,97,68,15.93
CL,punta arenas,-53.16,-70.91,45.57,70,20,20.8
US,canon city,39.46,-117.13,58.8,26,0,3.62
ZA,cape town,-33.93,18.42,53.6,76,20,10.29
RU,tevriz,57.51,72.4,50.43,58,92,5.19
